ID,Name,Sold_Price,Sold_Date,Grading_Service,Grade,Condition,Population_Info,Image_URL,Extracted_At
fanatics-fallback-1757475154816-223,"2000 pokemon movie promo ancient mew cgc 9.5 mint+ $155sold on sep 09, 2025 in buy now",$155,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-235,"2025 pokemon sv black star promo prismatic evolutions vaporeon #168 cgc 9 mint $8sold on sep 09, 2025 in buy now",$8,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-247,"2025 pokemon scarlet & violet prismatic evolutions holo espeon #33 cgc 9 mint $8sold on sep 09, 2025 in buy now",$8,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-259,"2024 pokemon scarlet & violet paldean fates ir pawmi #226 cgc 10 pristine $35sold on sep 09, 2025 in buy now",$35,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-271,"2003 pokemon skyridge holo flareon #h7 cgc 9.5 mint+ $650sold on sep 09, 2025 in buy now",$650,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-283,"2003 pokemon skyridge reverse holo crystal celebi #145 cgc 10 gem mintcgc population 1 of 14 $782sold on sep 09, 2025 in buy now",$782,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-295,"2025 pokemon japanese sv battle partners ar n's reshiram #109 cgc 10 pristine $47sold on sep 09, 2025 in buy now",$47,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-307,"2021 pokemon japanese swsh vmax climax full art zekrom #195 cgc 10 pristine $58sold on sep 09, 2025 in buy now",$58,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-319,"2023 pokemon japanese scarlet & violet 151 ar mewtwo #183 cgc 10 gem mint $36sold on sep 09, 2025 in buy now",$36,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-331,"2021 pokemon sword & shield celebrations flying pikachu v #6 cgc 8.5 nm-mt+ $15sold on sep 09, 2025 in buy now",$15,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-343,"2008 pokemon dp great encounters reverse holo primeape #27 cgc 9.5 mint+ $20sold on sep 09, 2025 in buy now",$20,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-355,"2021 pokemon sword & shield celebrations flying pikachu v #6 cgc 9.5 mint+ $20sold on sep 09, 2025 in buy now",$20,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-379,"2021 pokemon swsh celebrations classic collection secret rare mew #25 psa 9 mint $65sold on sep 09, 2025 in buy now",$65,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-391,"2023 pokemon scarlet & violet 151 reverse holo gengar #94 cgc 9.5 mint+ $29sold on sep 09, 2025 in buy now",$29,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-403,"2019 pokemon japanese sm sky legend moltres & zapdos & articuno gx #35 psa 10 $91sold on sep 09, 2025 in buy now",$91,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-415,"2001 pokemon japanese expedition 1st edition holo alakazam #116 psa 9 mint $153sold on sep 09, 2025 in buy now",$153,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-427,"2023 pokemon scarlet & violet 151 full art ninetales ex #186 cgc 9 mint $19sold on sep 09, 2025 in buy now",$19,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-439,"2001 pokemon neo revelation 1st edition holo ho-oh #7 cgc 9 mint $800sold on sep 09, 2025 in buy now",$800,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
fanatics-fallback-1757475154816-451,"1999 pokemon jungle 1st edition rhyhorn #61 cgc 7.5 nrmt+ $7sold on sep 09, 2025 in buy now",$7,sold on sep 09, 2025 i,,,,"",,2025-09-10T03:32:34.816Z
